"id","age","year","wrkstat","hrs1","marital","degree","sphrs1","postlife","sex","SIBS","agekdbrn","othlang","born","neisafe","hsbio","hschem","natspac","nextgen","grass","hrlax","colsci","fmi","numpets","trust","tvhours","sop","ssi","sphrs2","educ","moos","faos","realrinc","wordsum","rhs","Male","pres"
1562,NA,2018,"working fulltime",50,"married","high school",40,"yes","male",3,NA,"no","yes","very safe",NA,NA,NA,NA,NA,2,NA,63560,1,"can't be too careful",1,64,82,NA,14,53,NA,45400,3,NA,"male",46
570,NA,2018,"working fulltime",45,"married","bachelor",NA,NA,"female",3,NA,"no","no","somewhat safe","yes","yes","about right","agree",NA,4,"no",NA,NA,"can't be too careful",1,44,56,NA,16,NA,59,NA,8,NA,"female",75
1473,NA,2018,"working fulltime",40,"divorced","junior college",NA,"yes","male",5,23,"no","yes","somewhat safe","yes","no","too much","agree","legal",0,NA,14755,NA,"can't be too careful",2,NA,NA,NA,14,48,NA,14755,7,"good","male",35
1963,NA,2018,"working fulltime",40,"married","graduate",NA,"yes","male",7,NA,"yes","yes","somewhat safe","yes","no",NA,"agree",NA,4,"yes",NA,NA,NA,1,27,14,NA,20,27,47,NA,5,NA,"male",64
419,NA,2018,"working fulltime",35,"married","junior college",40,"yes","female",5,23,"yes","no","very safe",NA,NA,NA,NA,"not legal",2,NA,24970,4,"can trust",1,46,52,NA,14,42,49,24970,3,NA,"female",47
1441,NA,2018,"working parttime",16,"married","high school",NA,NA,"female",3,NA,"no","yes","very safe","yes","no",NA,"agree",NA,5,"yes",9647,NA,NA,0,NA,NA,NA,12,53,NA,9647,4,NA,"female",40
659,NA,2018,"working fulltime",NA,"never married","high school",NA,"no","female",3,NA,"no","yes","somewhat safe","no","no",NA,"agree","legal",NA,"yes",37455,NA,"can't be too careful",2,NA,NA,NA,13,47,34,37455,6,"good","female",51
377,18,2018,"working fulltime",60,"never married","high school",NA,"yes","female",3,NA,"no","yes","very safe","yes","yes","about right","agree","legal",2,"yes",24970,NA,"can't be too careful",1,NA,NA,NA,14,63,NA,2497,5,NA,"female",48
1113,18,2018,"working fulltime",40,"never married","high school",NA,"no","female",2,NA,"no","yes","very safe",NA,NA,NA,NA,"legal",NA,NA,NA,8,"can trust",NA,NA,NA,NA,12,48,31,NA,NA,NA,"female",25
738,18,2018,"working parttime",35,"never married","high school",NA,"yes","male",3,NA,"no","yes","very safe",NA,NA,NA,NA,"not legal",5,NA,63560,0,"can trust",NA,NA,NA,NA,12,60,64,908,NA,NA,"male",50
745,18,2018,"working fulltime",33,"never married","high school",NA,"yes","male",2,NA,"no","yes","very safe",NA,NA,NA,NA,"not legal",8,NA,30645,8,"can't be too careful",NA,NA,NA,NA,12,35,28,NA,NA,NA,"male",25
